,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
3006,219296,219296,Pinus elliotti,2331008,ARIZ,,f39788b6-d86c-43ab-bf9b-a3b644138032,PreservedSpecimen,Tubulicrinis,Tubulicrinis,19245,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:f39788b6-d86c-43ab-bf9b-a3b644138032,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3007,83260,83260,Pinus elliotti,4336328,ARIZ,,d832a4e4-3f40-4156-82dc-978ffa98e7a8,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,host: Pinus elliottii Engelm.,NA,urn:uuid:d832a4e4-3f40-4156-82dc-978ffa98e7a8,United States,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3008,220042,220042,Pinus elliotti,2330260,ARIZ,,b14a86d9-4c09-4c50-8059-2cea20436604,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:b14a86d9-4c09-4c50-8059-2cea20436604,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3009,220049,220049,Pinus elliotti,2330253,ARIZ,,c7f282b8-ce4a-433b-86d0-610287b4be62,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:c7f282b8-ce4a-433b-86d0-610287b4be62,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3010,220071,220071,Pinus elliotti,2330231,ARIZ,,3bd3a581-f7d2-4b20-b5ae-ac6028a43b3b,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:3bd3a581-f7d2-4b20-b5ae-ac6028a43b3b,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3011,220079,220079,Pinus elliotti,2330223,ARIZ,,ad630a7a-0d5c-4f97-99b1-ada13a37e4f8,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:ad630a7a-0d5c-4f97-99b1-ada13a37e4f8,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3012,220082,220082,Pinus elliotti,2330220,ARIZ,,29246e89-2659-4533-adf7-1e4e9a6c1a92,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:29246e89-2659-4533-adf7-1e4e9a6c1a92,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3013,220262,220262,Pinus elliotti,2330040,ARIZ,,91f68f5e-2b83-4ca4-89e3-a1cd184cd0ae,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:91f68f5e-2b83-4ca4-89e3-a1cd184cd0ae,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3014,220279,220279,Pinus elliotti,2330023,ARIZ,,dd80f861-86cc-43e7-abf8-a82c87888afc,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:dd80f861-86cc-43e7-abf8-a82c87888afc,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3015,220501,220501,Pinus elliotti,2329801,ARIZ,,e99caf58-8da4-4132-afdf-d1ffa05b2eed,PreservedSpecimen,Tubulicrinis calothrix,Tubulicrinis,548850,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:e99caf58-8da4-4132-afdf-d1ffa05b2eed,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3364,220081,220081,Pinus elliotti,2330221,ARIZ,,31f0d336-d413-4d80-ac4d-38bef86ad4e0,PreservedSpecimen,Xylodon sambuci,Xylodon,564442,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:31f0d336-d413-4d80-ac4d-38bef86ad4e0,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
